country	continent	intercept	slope	sd_resid
Algeria	Africa	43.3749743589744	0.56927972027972	1.32300638495765
Angola	Africa	32.1266538461539	0.20933986013986	1.40700913536231
Benin	Africa	39.5885128205128	0.334232867132867	1.17469098297291
Botswana	Africa	52.9291153846154	0.0606685314685308	6.11217733062277
Tunisia	Africa	44.5553076923077	0.587843356643356	1.55905632610629
Uganda	Africa	44.275217948718	0.121586013986014	3.18766831661272
Zambia	Africa	47.6580256410256	-0.0604251748251749	4.52871277959789
Zimbabwe	Africa	55.2212435897436	-0.0930209790209794	7.20543069561591
Afghanistan	Asia	29.9072948717949	0.275328671328671	1.22278798153463
Bahrain	Asia	52.7492051282051	0.467507692307692	1.63958653950098
Bangladesh	Asia	36.1354871794872	0.498130769230769	0.976690830409053
Cambodia	Asia	37.0154230769231	0.395902797202797	5.63014318176748
Thailand	Asia	52.6564230769231	0.347048251748252	1.20487235533783
Vietnam	Asia	39.0100769230769	0.671615384615384	1.31364912186802
West Bank and Gaza	Asia	43.7983974358975	0.601100699300699	1.98218221702543
Yemen, Rep.	Asia	30.1302820512821	0.60545944055944	1.58579804154085
Argentina	Americas	62.6884358974359	0.231708391608391	0.292307186863136
Bolivia	Americas	38.7564487179487	0.499932167832167	1.18444486859314
Brazil	Americas	51.5120384615385	0.39008951048951	0.326235858949216
Canada	Americas	68.8838461538462	0.21886923076923	0.249248292949942
Trinidad and Tobago	Americas	62.0523076923077	0.173661538461538	1.65198415432892
United States	Americas	68.4138461538462	0.184169230769231	0.416133946630722
Uruguay	Americas	65.7416025641026	0.183272027972027	0.533679901201452
Venezuela	Americas	57.5133205128205	0.329721678321678	1.48180233960527
Albania	Europe	59.2291282051282	0.334683216783216	1.9830615260166
Austria	Europe	66.4484615384616	0.241992307692307	0.407409381146483
Belgium	Europe	67.8919230769231	0.209084615384615	0.292902484428892
Bosnia and Herzegovina	Europe	58.0895641025641	0.349755244755244	2.25666509490946
Sweden	Europe	71.605	0.166254545454545	0.211767883220383
Switzerland	Europe	69.453717948718	0.222231468531468	0.214911464667868
Turkey	Europe	46.0223205128205	0.49723986013986	1.14706605026026
United Kingdom	Europe	68.8085256410257	0.185965734265734	0.442118165100038
